global_steps,train/loss,eval/loss
0,3.5167,3.6392
10,3.2321,3.4355
20,2.9954,2.6931
30,2.5002,2.7818
40,2.3033,2.5282
50,1.9611,2.2561
60,1.8432,1.8643
70,1.6486,1.7011
80,1.5033,1.6922
90,1.3698,1.4276
100,1.2478,1.3055
110,1.1333,1.1234
120,1.0988,1.0621
130,0.9245,0.9311
140,0.8102,0.8002
150,0.7689,0.8154
160,0.7421,0.7155
170,0.6343,0.6288
180,0.6098,0.6021
190,0.5532,0.5333
200,0.5301,0.5587
210,0.4654,0.4989
220,0.4221,0.4854
230,0.4488,0.4676
240,0.4054,0.4713
250,0.3843,0.4287
260,0.3855,0.3489
270,0.3501,0.3691
280,0.3587,0.3204
290,0.3483,0.3181
300,0.3188,0.4091
310,0.3299,0.3931
320,0.3021,0.3822
330,0.3055,0.3584
340,0.2898,0.3635
350,0.2845,0.3612
360,0.2798,0.3741
370,0.2655,0.3521
380,0.2418,0.3177
390,0.2483,0.2955
400,0.2551,0.2858
410,0.2722,0.2728
420,0.2698,0.2791
430,0.2675,0.2745
440,0.2655,0.2622
450,0.2638,0.2641
